2020-05-11 12:12:01 Hail: INFO: Running Hail version 0.2.39-ef87446bd1c7
2020-05-11 12:12:02 SparkContext: WARN: Using an existing SparkContext; some configuration may not take effect.
2020-05-11 12:12:06 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:07 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:07 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:08 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:09 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:09 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:10 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:11 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:11 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:11 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:12 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:13 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:13 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:14 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:14 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:15 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:16 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:17 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:17 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:18 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:18 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:19 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:19 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:20 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:20 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:21 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:22 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:22 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:23 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:23 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:24 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:24 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:25 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:26 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:26 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:27 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:27 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:28 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:29 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:29 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:30 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:30 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:31 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:31 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:32 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:32 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:33 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:33 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:34 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:34 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:35 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:35 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:36 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:37 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:37 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:38 CodecPool: INFO: Got brand-new decompressor [.gz]
2020-05-11 12:12:38 CodecPool: INFO: Got brand-new decompressor [.gz]
